Line 0, Char 25: Expected >, but found ] instead.
Line 5, Char 42: Expected }, but found ) instead.
Line 6, Char 35: Expected ], but found ) instead.
Line 8, Char 18: Expected ], but found ) instead.
Line 11, Char 99: Expected ], but found } instead.
Line 12, Char 37: Expected }, but found > instead.
Line 14, Char 88: Expected }, but found > instead.
Line 17, Char 40: Expected >, but found ] instead.
Line 18, Char 25: Expected >, but found ] instead.
Line 19, Char 85: Expected ), but found ] instead.
Line 20, Char 55: Expected }, but found ] instead.
Line 23, Char 100: Expected }, but found ] instead.
Line 24, Char 53: Expected }, but found > instead.
Line 27, Char 87: Expected ], but found } instead.
Line 28, Char 40: Expected ), but found } instead.
Line 29, Char 74: Expected >, but found ) instead.
Line 30, Char 81: Expected >, but found ) instead.
Line 33, Char 65: Expected }, but found ] instead.
Line 35, Char 18: Expected ), but found } instead.
Line 36, Char 38: Expected >, but found ) instead.
Line 39, Char 55: Expected }, but found ) instead.
Line 40, Char 68: Expected }, but found ] instead.
Line 42, Char 38: Expected ), but found > instead.
Line 44, Char 24: Expected ], but found } instead.
Line 46, Char 62: Expected }, but found ] instead.
Line 47, Char 51: Expected ), but found ] instead.
Line 48, Char 46: Expected >, but found } instead.
Line 50, Char 25: Expected ], but found ) instead.
Line 53, Char 92: Expected >, but found ] instead.
Line 57, Char 48: Expected ), but found > instead.
Line 60, Char 35: Expected ), but found ] instead.
Line 63, Char 60: Expected ], but found } instead.
Line 64, Char 90: Expected ), but found } instead.
Line 65, Char 52: Expected >, but found } instead.
Line 68, Char 91: Expected }, but found ) instead.
Line 69, Char 22: Expected >, but found } instead.
Line 73, Char 50: Expected >, but found } instead.
Line 76, Char 41: Expected ), but found > instead.
Line 79, Char 73: Expected >, but found ] instead.
Line 80, Char 24: Expected >, but found ] instead.
Line 81, Char 42: Expected ), but found ] instead.
Line 82, Char 49: Expected ), but found } instead.
Line 84, Char 51: Expected ], but found ) instead.
Line 89, Char 93: Expected >, but found } instead.
Line 90, Char 32: Expected }, but found > instead.
Line 91, Char 62: Expected ), but found > instead.
Line 92, Char 38: Expected }, but found ) instead.
Line 93, Char 86: Expected }, but found ] instead.
Line 94, Char 50: Expected >, but found ) instead.
Line 99, Char 25: Expected ], but found } instead.
Line 100, Char 30: Expected ], but found > instead.
Point Total : 243939
